Ano,Mês,Posição,Música,Artista,Gênero
1928,Junho,1,Carinhoso,Pixinguinha,Choro
1929,Fevereiro,1,Jura,Mário Reis,Samba-canção
1929,Julho,1,Gosto Que Me Enrosco,Mário Reis,Samba
1930,Fevereiro,1,Ta-hí (Pra Você Gostar de Mim),Carmen Miranda,Marchinha
1933,Junho,1,Cidade Maravilhosa,Aurora Miranda & André Filho,Marcha
1935,Fevereiro,1,O Teu Cabelo Não Nega,Castro Barbosa,Marchinha
1937,Agosto,1,Carinhoso (com letra),Orlando Silva,Samba-canção
1938,Junho,1,No Rancho Fundo,Ary Barroso,Samba-canção
1939,Agosto,1,Aquarela do Brasil,Francisco Alves,Samba-exaltação
1940,Outubro,1,O Samba da Minha Terra,Bando da Lua,Samba
1941,Julho,1,"Ai, Que Saudades da Amélia",Ataulfo Alves,Samba
1945,Maio,1,Maria Bethânia,Nelson Gonçalves,Valsa
1947,Junho,1,Asa Branca,Luiz Gonzaga,Baião
1949,Dezembro,1,Não me Diga Adeus,Aracy de Almeida,Samba-canção
1950,Março,1,Brasileirinho,Waldir Azevedo,Choro
1952,Julho,1,Delicado,Waldir Azevedo,Choro
1953,Setembro,1,Risque,Linda Batista,Samba-canção
1956,Agosto,1,"Meu Bem, Meu Mal",Maysa,Samba-canção
1958,Agosto,1,Chega de Saudade,João Gilberto,Bossa Nova
1959,Abril,1,O Barquinho,Maysa,Bossa Nova
1961,Março,1,Trem das Onze,Demônios da Garoa,Samba
1962,Setembro,1,Garota de Ipanema,Pery Ribeiro,Bossa Nova
1965,Maio,1,Quero que Vá Tudo pro Inferno,Roberto Carlos,Jovem Guarda / Rock
1966,Julho,1,A Banda,Nara Leão / Chico Buarque,MPB / Marcha
1967,Outubro,1,"Alegria, Alegria",Caetano Veloso,Tropicália / MPB
1968,Julho,1,Pra Não Dizer Que Não Falei das Flores,Geraldo Vandré,Canção de Protesto
1969,Setembro,1,País Tropical,Wilson Simonal / Jorge Ben,Samba Rock
1970,Junho,1,Pra Frente Brasil,Miguel Gustavo,Hino
1972,Março,1,Águas de Março,Elis Regina & Tom Jobim,MPB / Bossa Nova
1974,Agosto,1,Gostava Tanto de Você,Tim Maia,Soul / MPB
1975,Agosto,1,Feelings,Morris Albert,Soft Rock / MPB
1976,Maio,1,Como Nossos Pais,Elis Regina,MPB
1977,Julho,1,Ovelha Negra,Rita Lee,Rock
1979,Setembro,1,Não se reprima,Menudos,Pop
1982,Maio,1,Menina Veneno,Ritchie,Pop Rock
1983,Junho,1,Vamos à Praia,Johnson & Johnson,New Wave / Pop
1984,Julho,1,Bete Balanço,Barão Vermelho,Rock
1985,Março,1,We Are the World,USA for Africa,Pop / Filantrópica
1985,Setembro,1,Dona,Roupa Nova,Pop Rock
1987,Junho,1,Que País É Este,Legião Urbana,Rock
1989,Abril,1,Bem Que Se Quis,Marisa Monte,MPB / Pop
